id,title,artist,language,mood
102,Vachindamma,DSP,Telugu,Happy
103,Shayad,Arijit Singh,Hindi,Energetic
104,Apna Time Aayega,Arijit Singh,Hindi,Energetic
105,Blinding Lights,The Weeknd,English,Calm
106,Roar,Taylor Swift,English,Sad
107,Apna Time Aayega,Sonu Nigam,Hindi,Happy
108,Shape of You,Ed Sheeran,English,Sad
109,Kesariya,Arijit Singh,Hindi,Happy
110,Roar,The Weeknd,English,Calm
111,Channa Mereya,Badshah,Hindi,Calm
112,Channa Mereya,Sonu Nigam,Hindi,Sad
113,Shayad,Sonu Nigam,Hindi,Happy
114,Perfect,Katy Perry,English,Energetic
115,Vachindamma,Anurag Kulkarni,Telugu,Romantic
116,Someone Like You,Taylor Swift,English,Calm
117,Kesariya,Sonu Nigam,Hindi,Calm
118,Tum Hi Ho,Shreya Ghoshal,Hindi,Sad
119,Blinding Lights,Taylor Swift,English,Happy
120,Srivalli,Shreya Ghoshal,Telugu,Energetic
121,Srivalli,DSP,Telugu,Energetic
122,Butta Bomma,Sid Sriram,Telugu,Calm
123,Srivalli,Sid Sriram,Telugu,Calm
124,Channa Mereya,Sonu Nigam,Hindi,Sad
125,Shayad,Shreya Ghoshal,Hindi,Calm
126,Someone Like You,Katy Perry,English,Sad
127,Shape of You,Adele,English,Romantic
128,Someone Like You,Katy Perry,English,Romantic
129,Perfect,The Weeknd,English,Energetic
130,Channa Mereya,Arijit Singh,Hindi,Sad
131,Someone Like You,Ed Sheeran,English,Energetic
132,Shape of You,Adele,English,Calm
133,Tum Hi Ho,Neha Kakkar,Hindi,Energetic
134,Perfect,Ed Sheeran,English,Happy
135,Channa Mereya,Shreya Ghoshal,Hindi,Energetic
136,Shape of You,Ed Sheeran,English,Energetic
137,Shayad,Shreya Ghoshal,Hindi,Sad
138,Channa Mereya,Neha Kakkar,Hindi,Sad
139,Srivalli,DSP,Telugu,Calm
140,Vachindamma,Anurag Kulkarni,Telugu,Calm
141,Someone Like You,Taylor Swift,English,Happy
142,Tum Hi Ho,Sonu Nigam,Hindi,Happy
143,Shayad,Shreya Ghoshal,Hindi,Calm
144,Shape of You,Adele,English,Sad
145,Shayad,Sonu Nigam,Hindi,Happy
146,Channa Mereya,Sonu Nigam,Hindi,Sad
147,Butta Bomma,Sid Sriram,Telugu,Happy
148,Roar,The Weeknd,English,Happy
149,Apna Time Aayega,Sonu Nigam,Hindi,Calm
150,Channa Mereya,Sonu Nigam,Hindi,Sad
151,Vachindamma,Shreya Ghoshal,Telugu,Romantic
152,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
153,Shape of You,Adele,English,Romantic
154,Perfect,The Weeknd,English,Happy
155,Roar,The Weeknd,English,Sad
156,Perfect,Taylor Swift,English,Romantic
157,Kesariya,Arijit Singh,Hindi,Energetic
158,Seeti Maar,Sid Sriram,Telugu,Calm
159,Apna Time Aayega,Arijit Singh,Hindi,Happy
160,Apna Time Aayega,Shreya Ghoshal,Hindi,Romantic
161,Roar,Katy Perry,English,Calm
162,Roar,Ed Sheeran,English,Happy
163,Blinding Lights,Katy Perry,English,Energetic
164,Roar,Adele,English,Happy
165,Vachindamma,Armaan Malik,Telugu,Energetic
166,Srivalli,DSP,Telugu,Romantic
167,Vachindamma,Anurag Kulkarni,Telugu,Calm
168,Shayad,Shreya Ghoshal,Hindi,Happy
169,Channa Mereya,Arijit Singh,Hindi,Calm
170,Roar,Ed Sheeran,English,Romantic
171,Roar,Taylor Swift,English,Energetic
172,Shape of You,Taylor Swift,English,Romantic
173,Srivalli,Anurag Kulkarni,Telugu,Calm
174,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
175,Someone Like You,Ed Sheeran,English,Calm
176,Srivalli,Anurag Kulkarni,Telugu,Energetic
177,Apna Time Aayega,Shreya Ghoshal,Hindi,Sad
178,Channa Mereya,Neha Kakkar,Hindi,Energetic
179,Channa Mereya,Sonu Nigam,Hindi,Energetic
180,Roar,Adele,English,Happy
181,Shayad,Arijit Singh,Hindi,Romantic
182,Someone Like You,Ed Sheeran,English,Sad
183,Samajavaragamana,Sid Sriram,Telugu,Happy
184,Roar,The Weeknd,English,Happy
185,Samajavaragamana,Anurag Kulkarni,Telugu,Happy
186,Apna Time Aayega,Badshah,Hindi,Sad
187,Seeti Maar,Anurag Kulkarni,Telugu,Happy
188,Samajavaragamana,Armaan Malik,Telugu,Calm
189,Blinding Lights,The Weeknd,English,Energetic
190,Shayad,Neha Kakkar,Hindi,Happy
191,Shape of You,The Weeknd,English,Romantic
192,Perfect,Taylor Swift,English,Energetic
193,Perfect,Taylor Swift,English,Calm
194,Channa Mereya,Shreya Ghoshal,Hindi,Sad
195,Blinding Lights,Ed Sheeran,English,Romantic
196,Srivalli,Sid Sriram,Telugu,Happy
197,Srivalli,DSP,Telugu,Energetic
198,Tum Hi Ho,Shreya Ghoshal,Hindi,Romantic
199,Blinding Lights,Ed Sheeran,English,Calm
200,Channa Mereya,Arijit Singh,Hindi,Romantic
201,Vachindamma,Armaan Malik,Telugu,Sad
202,Perfect,Taylor Swift,English,Calm
203,Butta Bomma,Anurag Kulkarni,Telugu,Romantic
204,Shayad,Arijit Singh,Hindi,Happy
205,Channa Mereya,Shreya Ghoshal,Hindi,Romantic
206,Blinding Lights,Adele,English,Happy
207,Roar,Ed Sheeran,English,Calm
208,Roar,Taylor Swift,English,Energetic
209,Apna Time Aayega,Shreya Ghoshal,Hindi,Energetic
210,Samajavaragamana,DSP,Telugu,Energetic
211,Seeti Maar,Anurag Kulkarni,Telugu,Sad
212,Apna Time Aayega,Arijit Singh,Hindi,Romantic
213,Someone Like You,Ed Sheeran,English,Energetic
214,Seeti Maar,Anurag Kulkarni,Telugu,Happy
215,Tum Hi Ho,Arijit Singh,Hindi,Romantic
216,Shayad,Badshah,Hindi,Sad
217,Tum Hi Ho,Shreya Ghoshal,Hindi,Happy
218,Samajavaragamana,Armaan Malik,Telugu,Sad
219,Perfect,Adele,English,Romantic
220,Someone Like You,Taylor Swift,English,Happy
221,Someone Like You,Ed Sheeran,English,Happy
222,Blinding Lights,Katy Perry,English,Energetic
223,Channa Mereya,Sonu Nigam,Hindi,Energetic
224,Channa Mereya,Arijit Singh,Hindi,Romantic
225,Seeti Maar,Anurag Kulkarni,Telugu,Happy
226,Tum Hi Ho,Arijit Singh,Hindi,Sad
227,Channa Mereya,Badshah,Hindi,Sad
228,Srivalli,Sid Sriram,Telugu,Calm
229,Seeti Maar,Shreya Ghoshal,Telugu,Calm
230,Channa Mereya,Badshah,Hindi,Sad
231,Roar,The Weeknd,English,Romantic
232,Channa Mereya,Shreya Ghoshal,Hindi,Romantic
233,Vachindamma,Sid Sriram,Telugu,Happy
234,Perfect,The Weeknd,English,Romantic
235,Srivalli,Sid Sriram,Telugu,Happy
236,Shayad,Arijit Singh,Hindi,Calm
237,Channa Mereya,Badshah,Hindi,Romantic
238,Someone Like You,Ed Sheeran,English,Romantic
239,Shape of You,Taylor Swift,English,Energetic
240,Kesariya,Shreya Ghoshal,Hindi,Energetic
241,Blinding Lights,Katy Perry,English,Happy
242,Someone Like You,Ed Sheeran,English,Happy
243,Blinding Lights,Katy Perry,English,Happy
244,Kesariya,Neha Kakkar,Hindi,Energetic
245,Apna Time Aayega,Badshah,Hindi,Energetic
246,Seeti Maar,Armaan Malik,Telugu,Romantic
247,Butta Bomma,Anurag Kulkarni,Telugu,Happy
248,Roar,Katy Perry,English,Energetic
249,Butta Bomma,Sid Sriram,Telugu,Happy
250,Shayad,Shreya Ghoshal,Hindi,Energetic
251,Tum Hi Ho,Shreya Ghoshal,Hindi,Calm
252,Someone Like You,Katy Perry,English,Happy
253,Vachindamma,Anurag Kulkarni,Telugu,Sad
254,Shayad,Shreya Ghoshal,Hindi,Calm
255,Samajavaragamana,Sid Sriram,Telugu,Happy
256,Apna Time Aayega,Sonu Nigam,Hindi,Happy
257,Perfect,Ed Sheeran,English,Sad
258,Samajavaragamana,DSP,Telugu,Romantic
259,Kesariya,Arijit Singh,Hindi,Happy
260,Someone Like You,The Weeknd,English,Happy
261,Seeti Maar,Anurag Kulkarni,Telugu,Calm
262,Perfect,Adele,English,Happy
263,Srivalli,Armaan Malik,Telugu,Sad
264,Channa Mereya,Shreya Ghoshal,Hindi,Energetic
265,Seeti Maar,Shreya Ghoshal,Telugu,Romantic
266,Roar,The Weeknd,English,Romantic
267,Vachindamma,DSP,Telugu,Sad
268,Blinding Lights,Ed Sheeran,English,Romantic
269,Srivalli,Sid Sriram,Telugu,Romantic
270,Channa Mereya,Shreya Ghoshal,Hindi,Calm
271,Samajavaragamana,Sid Sriram,Telugu,Sad
272,Apna Time Aayega,Sonu Nigam,Hindi,Energetic
273,Kesariya,Sonu Nigam,Hindi,Sad
274,Vachindamma,Shreya Ghoshal,Telugu,Romantic
275,Vachindamma,DSP,Telugu,Calm
276,Srivalli,Shreya Ghoshal,Telugu,Sad
277,Apna Time Aayega,Badshah,Hindi,Energetic
278,Perfect,Katy Perry,English,Happy
279,Tum Hi Ho,Arijit Singh,Hindi,Romantic
280,Butta Bomma,DSP,Telugu,Energetic
281,Blinding Lights,Taylor Swift,English,Calm
282,Shayad,Sonu Nigam,Hindi,Calm
283,Seeti Maar,Sid Sriram,Telugu,Calm
284,Samajavaragamana,Anurag Kulkarni,Telugu,Romantic
285,Vachindamma,Shreya Ghoshal,Telugu,Romantic
286,Tum Hi Ho,Badshah,Hindi,Happy
287,Srivalli,Anurag Kulkarni,Telugu,Calm
288,Perfect,Ed Sheeran,English,Happy
289,Seeti Maar,Sid Sriram,Telugu,Happy
290,Kesariya,Badshah,Hindi,Sad
291,Blinding Lights,Ed Sheeran,English,Romantic
292,Srivalli,Shreya Ghoshal,Telugu,Energetic
293,Perfect,Katy Perry,English,Calm
294,Kesariya,Badshah,Hindi,Happy
295,Roar,Taylor Swift,English,Happy
296,Blinding Lights,Katy Perry,English,Happy
297,Kesariya,Sonu Nigam,Hindi,Happy
298,Blinding Lights,The Weeknd,English,Romantic
299,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
300,Srivalli,Anurag Kulkarni,Telugu,Sad
301,Shape of You,Katy Perry,English,Calm
302,Roar,Taylor Swift,English,Sad
303,Shape of You,The Weeknd,English,Romantic
304,Channa Mereya,Badshah,Hindi,Sad
305,Shayad,Badshah,Hindi,Happy
306,Channa Mereya,Sonu Nigam,Hindi,Calm
307,Shape of You,Taylor Swift,English,Sad
308,Perfect,The Weeknd,English,Calm
309,Tum Hi Ho,Neha Kakkar,Hindi,Energetic
310,Someone Like You,Adele,English,Calm
311,Seeti Maar,Shreya Ghoshal,Telugu,Calm
312,Srivalli,Anurag Kulkarni,Telugu,Happy
313,Blinding Lights,Adele,English,Energetic
314,Seeti Maar,Shreya Ghoshal,Telugu,Energetic
315,Shape of You,Taylor Swift,English,Romantic
316,Perfect,Taylor Swift,English,Calm
317,Kesariya,Arijit Singh,Hindi,Happy
318,Tum Hi Ho,Neha Kakkar,Hindi,Sad
319,Kesariya,Shreya Ghoshal,Hindi,Happy
320,Butta Bomma,Shreya Ghoshal,Telugu,Happy
321,Samajavaragamana,Armaan Malik,Telugu,Calm
322,Blinding Lights,Taylor Swift,English,Energetic
323,Someone Like You,Taylor Swift,English,Calm
324,Seeti Maar,Shreya Ghoshal,Telugu,Romantic
325,Shayad,Sonu Nigam,Hindi,Romantic
326,Srivalli,Shreya Ghoshal,Telugu,Calm
327,Tum Hi Ho,Shreya Ghoshal,Hindi,Romantic
328,Kesariya,Neha Kakkar,Hindi,Calm
329,Roar,Katy Perry,English,Sad
330,Channa Mereya,Badshah,Hindi,Energetic
331,Blinding Lights,Katy Perry,English,Calm
332,Tum Hi Ho,Sonu Nigam,Hindi,Sad
333,Vachindamma,Armaan Malik,Telugu,Energetic
334,Shayad,Badshah,Hindi,Energetic
335,Vachindamma,Shreya Ghoshal,Telugu,Energetic
336,Vachindamma,DSP,Telugu,Romantic
337,Perfect,Ed Sheeran,English,Calm
338,Apna Time Aayega,Arijit Singh,Hindi,Calm
339,Srivalli,Anurag Kulkarni,Telugu,Happy
340,Roar,Katy Perry,English,Energetic
341,Roar,Ed Sheeran,English,Sad
342,Apna Time Aayega,Shreya Ghoshal,Hindi,Energetic
343,Apna Time Aayega,Neha Kakkar,Hindi,Romantic
344,Blinding Lights,Adele,English,Energetic
345,Shayad,Neha Kakkar,Hindi,Energetic
346,Vachindamma,Armaan Malik,Telugu,Happy
347,Someone Like You,The Weeknd,English,Sad
348,Vachindamma,DSP,Telugu,Happy
349,Seeti Maar,DSP,Telugu,Happy
350,Srivalli,Sid Sriram,Telugu,Energetic
351,Apna Time Aayega,Arijit Singh,Hindi,Calm
352,Shayad,Sonu Nigam,Hindi,Calm
353,Srivalli,Sid Sriram,Telugu,Calm
354,Seeti Maar,Armaan Malik,Telugu,Energetic
355,Butta Bomma,DSP,Telugu,Sad
356,Channa Mereya,Arijit Singh,Hindi,Romantic
357,Shayad,Badshah,Hindi,Happy
358,Tum Hi Ho,Neha Kakkar,Hindi,Energetic
359,Tum Hi Ho,Shreya Ghoshal,Hindi,Sad
360,Seeti Maar,DSP,Telugu,Sad
361,Channa Mereya,Sonu Nigam,Hindi,Romantic
362,Channa Mereya,Shreya Ghoshal,Hindi,Calm
363,Shape of You,The Weeknd,English,Happy
364,Someone Like You,Taylor Swift,English,Sad
365,Butta Bomma,Anurag Kulkarni,Telugu,Calm
366,Shape of You,Adele,English,Energetic
367,Apna Time Aayega,Neha Kakkar,Hindi,Romantic
368,Kesariya,Neha Kakkar,Hindi,Romantic
369,Srivalli,Shreya Ghoshal,Telugu,Happy
370,Apna Time Aayega,Shreya Ghoshal,Hindi,Energetic
371,Perfect,Adele,English,Sad
372,Someone Like You,Ed Sheeran,English,Calm
373,Blinding Lights,Ed Sheeran,English,Calm
374,Kesariya,Badshah,Hindi,Happy
375,Samajavaragamana,Sid Sriram,Telugu,Energetic
376,Roar,Adele,English,Sad
377,Tum Hi Ho,Neha Kakkar,Hindi,Happy
378,Blinding Lights,Ed Sheeran,English,Calm
379,Tum Hi Ho,Badshah,Hindi,Romantic
380,Kesariya,Arijit Singh,Hindi,Energetic
381,Seeti Maar,Sid Sriram,Telugu,Energetic
382,Roar,Ed Sheeran,English,Energetic
383,Someone Like You,Ed Sheeran,English,Calm
384,Butta Bomma,DSP,Telugu,Energetic
385,Shayad,Arijit Singh,Hindi,Sad
386,Channa Mereya,Badshah,Hindi,Romantic
387,Tum Hi Ho,Sonu Nigam,Hindi,Energetic
388,Srivalli,DSP,Telugu,Happy
389,Blinding Lights,Katy Perry,English,Calm
390,Perfect,The Weeknd,English,Energetic
391,Someone Like You,The Weeknd,English,Energetic
392,Tum Hi Ho,Neha Kakkar,Hindi,Happy
393,Apna Time Aayega,Neha Kakkar,Hindi,Happy
394,Blinding Lights,Katy Perry,English,Romantic
395,Apna Time Aayega,Sonu Nigam,Hindi,Sad
396,Tum Hi Ho,Sonu Nigam,Hindi,Happy
397,Shayad,Neha Kakkar,Hindi,Energetic
398,Shayad,Badshah,Hindi,Sad
399,Perfect,Ed Sheeran,English,Energetic
400,Shayad,Shreya Ghoshal,Hindi,Energetic
401,Butta Bomma,Anurag Kulkarni,Telugu,Sad
402,Apna Time Aayega,Badshah,Hindi,Romantic
403,Channa Mereya,Shreya Ghoshal,Hindi,Happy
404,Seeti Maar,Armaan Malik,Telugu,Sad
405,Srivalli,Shreya Ghoshal,Telugu,Energetic
406,Shape of You,Taylor Swift,English,Energetic
407,Samajavaragamana,DSP,Telugu,Romantic
408,Blinding Lights,The Weeknd,English,Calm
409,Shape of You,Katy Perry,English,Romantic
410,Vachindamma,Anurag Kulkarni,Telugu,Sad
411,Seeti Maar,Shreya Ghoshal,Telugu,Romantic
412,Someone Like You,Adele,English,Calm
413,Someone Like You,Katy Perry,English,Calm
414,Perfect,Katy Perry,English,Happy
415,Apna Time Aayega,Arijit Singh,Hindi,Energetic
416,Vachindamma,Anurag Kulkarni,Telugu,Sad
417,Samajavaragamana,Anurag Kulkarni,Telugu,Happy
418,Shape of You,The Weeknd,English,Energetic
419,Channa Mereya,Badshah,Hindi,Calm
420,Vachindamma,Anurag Kulkarni,Telugu,Energetic
421,Shape of You,Adele,English,Sad
422,Channa Mereya,Shreya Ghoshal,Hindi,Romantic
423,Srivalli,Armaan Malik,Telugu,Romantic
424,Butta Bomma,Sid Sriram,Telugu,Calm
425,Srivalli,Anurag Kulkarni,Telugu,Happy
426,Roar,The Weeknd,English,Sad
427,Shape of You,The Weeknd,English,Energetic
428,Srivalli,Sid Sriram,Telugu,Romantic
429,Channa Mereya,Arijit Singh,Hindi,Happy
430,Butta Bomma,Anurag Kulkarni,Telugu,Energetic
431,Channa Mereya,Sonu Nigam,Hindi,Energetic
432,Channa Mereya,Shreya Ghoshal,Hindi,Romantic
433,Shape of You,The Weeknd,English,Energetic
434,Blinding Lights,The Weeknd,English,Happy
435,Samajavaragamana,Shreya Ghoshal,Telugu,Energetic
436,Kesariya,Sonu Nigam,Hindi,Energetic
437,Shayad,Neha Kakkar,Hindi,Sad
438,Seeti Maar,Anurag Kulkarni,Telugu,Romantic
439,Shape of You,Taylor Swift,English,Sad
440,Blinding Lights,The Weeknd,English,Romantic
441,Someone Like You,Ed Sheeran,English,Romantic
442,Seeti Maar,Shreya Ghoshal,Telugu,Energetic
443,Roar,The Weeknd,English,Energetic
444,Srivalli,DSP,Telugu,Romantic
445,Vachindamma,DSP,Telugu,Happy
446,Tum Hi Ho,Arijit Singh,Hindi,Sad
447,Someone Like You,The Weeknd,English,Energetic
448,Srivalli,Anurag Kulkarni,Telugu,Energetic
449,Shayad,Sonu Nigam,Hindi,Happy
450,Seeti Maar,Sid Sriram,Telugu,Energetic
451,Shape of You,Taylor Swift,English,Happy
452,Apna Time Aayega,Badshah,Hindi,Sad
453,Channa Mereya,Sonu Nigam,Hindi,Calm
454,Shape of You,The Weeknd,English,Romantic
455,Blinding Lights,Ed Sheeran,English,Happy
456,Seeti Maar,Anurag Kulkarni,Telugu,Energetic
457,Channa Mereya,Arijit Singh,Hindi,Sad
458,Kesariya,Shreya Ghoshal,Hindi,Energetic
459,Shayad,Neha Kakkar,Hindi,Calm
460,Perfect,Adele,English,Romantic
461,Shape of You,Katy Perry,English,Happy
462,Blinding Lights,Ed Sheeran,English,Calm
463,Tum Hi Ho,Neha Kakkar,Hindi,Romantic
464,Apna Time Aayega,Arijit Singh,Hindi,Romantic
465,Shayad,Sonu Nigam,Hindi,Sad
466,Someone Like You,Taylor Swift,English,Romantic
467,Apna Time Aayega,Sonu Nigam,Hindi,Sad
468,Shayad,Sonu Nigam,Hindi,Happy
469,Samajavaragamana,Armaan Malik,Telugu,Energetic
470,Srivalli,DSP,Telugu,Happy
471,Srivalli,Sid Sriram,Telugu,Sad
472,Samajavaragamana,Sid Sriram,Telugu,Sad
473,Roar,Taylor Swift,English,Happy
474,Shape of You,Katy Perry,English,Sad
475,Kesariya,Neha Kakkar,Hindi,Happy
476,Channa Mereya,Neha Kakkar,Hindi,Sad
477,Roar,Taylor Swift,English,Sad
478,Channa Mereya,Shreya Ghoshal,Hindi,Energetic
479,Srivalli,Shreya Ghoshal,Telugu,Sad
480,Tum Hi Ho,Shreya Ghoshal,Hindi,Calm
481,Vachindamma,Armaan Malik,Telugu,Happy
482,Samajavaragamana,Anurag Kulkarni,Telugu,Sad
483,Blinding Lights,Katy Perry,English,Happy
484,Butta Bomma,Anurag Kulkarni,Telugu,Energetic
485,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
486,Samajavaragamana,Sid Sriram,Telugu,Energetic
487,Kesariya,Badshah,Hindi,Calm
488,Samajavaragamana,DSP,Telugu,Happy
489,Apna Time Aayega,Badshah,Hindi,Energetic
490,Roar,The Weeknd,English,Happy
491,Someone Like You,Adele,English,Energetic
492,Shape of You,The Weeknd,English,Calm
493,Seeti Maar,Sid Sriram,Telugu,Sad
494,Srivalli,DSP,Telugu,Energetic
495,Channa Mereya,Badshah,Hindi,Happy
496,Channa Mereya,Arijit Singh,Hindi,Romantic
497,Shape of You,The Weeknd,English,Sad
498,Samajavaragamana,Armaan Malik,Telugu,Romantic
499,Someone Like You,Katy Perry,English,Romantic
500,Perfect,The Weeknd,English,Energetic
501,Shayad,Shreya Ghoshal,Hindi,Sad
502,Kesariya,Sonu Nigam,Hindi,Calm
503,Perfect,Katy Perry,English,Calm
504,Someone Like You,Katy Perry,English,Happy
505,Kesariya,Badshah,Hindi,Romantic
506,Kesariya,Shreya Ghoshal,Hindi,Energetic
507,Kesariya,Arijit Singh,Hindi,Calm
508,Shayad,Sonu Nigam,Hindi,Romantic
509,Roar,Katy Perry,English,Calm
510,Apna Time Aayega,Arijit Singh,Hindi,Calm
511,Someone Like You,Taylor Swift,English,Happy
512,Seeti Maar,Sid Sriram,Telugu,Calm
513,Channa Mereya,Arijit Singh,Hindi,Happy
514,Perfect,Taylor Swift,English,Happy
515,Channa Mereya,Arijit Singh,Hindi,Energetic
516,Channa Mereya,Neha Kakkar,Hindi,Energetic
517,Seeti Maar,Armaan Malik,Telugu,Romantic
518,Samajavaragamana,Shreya Ghoshal,Telugu,Sad
519,Perfect,Ed Sheeran,English,Energetic
520,Vachindamma,Shreya Ghoshal,Telugu,Calm
521,Samajavaragamana,Shreya Ghoshal,Telugu,Happy
522,Shayad,Sonu Nigam,Hindi,Energetic
523,Apna Time Aayega,Arijit Singh,Hindi,Happy
524,Kesariya,Arijit Singh,Hindi,Romantic
525,Butta Bomma,DSP,Telugu,Sad
526,Shayad,Sonu Nigam,Hindi,Calm
527,Seeti Maar,Armaan Malik,Telugu,Calm
528,Apna Time Aayega,Arijit Singh,Hindi,Calm
529,Kesariya,Arijit Singh,Hindi,Energetic
530,Samajavaragamana,Sid Sriram,Telugu,Energetic
531,Someone Like You,Taylor Swift,English,Romantic
532,Blinding Lights,Taylor Swift,English,Happy
533,Vachindamma,DSP,Telugu,Energetic
534,Vachindamma,Armaan Malik,Telugu,Energetic
535,Apna Time Aayega,Badshah,Hindi,Happy
536,Seeti Maar,Anurag Kulkarni,Telugu,Romantic
537,Seeti Maar,Shreya Ghoshal,Telugu,Calm
538,Blinding Lights,The Weeknd,English,Happy
539,Perfect,Ed Sheeran,English,Romantic
540,Srivalli,DSP,Telugu,Sad
541,Roar,Adele,English,Calm
542,Tum Hi Ho,Sonu Nigam,Hindi,Energetic
543,Vachindamma,Armaan Malik,Telugu,Sad
544,Blinding Lights,Taylor Swift,English,Calm
545,Perfect,The Weeknd,English,Energetic
546,Blinding Lights,The Weeknd,English,Happy
